symbol,name,price,change,change_percent,timestamp,source
SBLCHF,SBLCHF,241.0,11.0,4.782608695652174,2026-01-19T21:13:41.338737,tradingview
SBNCHF,SBNCHF,2423.0,105.0,4.5297670405522,2026-01-19T21:13:41.338737,tradingview
SBKCHF,SBKCHF,120.0,5.0,4.3478260869565215,2026-01-19T21:13:41.338737,tradingview
SBJCHF,SBJCHF,24.0,1.0,4.3478260869565215,2026-01-19T21:13:41.338737,tradingview
MGABRX,MGABRX,0.001176,3.399999999999996e-05,2.9772329246935167,2026-01-19T21:13:41.338737,tradingview
PYGBRX,PYGBRX,0.0008034,2.0400000000000062e-05,2.6053639846743377,2026-01-19T21:13:41.338737,tradingview
UGXIDR,UGXIDR,4.859,0.1189,2.508385899031666,2026-01-19T21:13:41.338737,tradingview
COPLRD,COPLRD,0.05,0.0011999999999999997,2.459016393442622,2026-01-19T21:13:41.338737,tradingview
UGXINR,UGXINR,0.026062,0.0006159999999999985,2.420812701406895,2026-01-19T21:13:41.338737,tradingview
UGXJPY,UGXJPY,0.045373,0.0009739999999999957,2.193743102322115,2026-01-19T21:13:41.338737,tradingview
UGXZAR,UGXZAR,0.0047062,0.00010019999999999994,2.175423360833694,2026-01-19T21:13:41.338737,tradingview
UGXKRW,UGXKRW,0.42284,0.009000000000000008,2.174753527933503,2026-01-19T21:13:41.338737,tradingview
NZDLRD,NZDLRD,105.8045,2.2379999999999995,2.1609304166887937,2026-01-19T21:13:41.338737,tradingview
UGXCNY,UGXCNY,0.0019958,4.1799999999999823e-05,2.1392016376663165,2026-01-19T21:13:41.338737,tradingview
CHFLRD,CHFLRD,230.2739,4.733200000000011,2.0986012724089314,2026-01-19T21:13:41.338737,tradingview
UGXUSD,UGXUSD,0.00028678,5.779999999999989e-06,2.0569395017793557,2026-01-19T21:13:41.338737,tradingview
UGXBRX,UGXBRX,0.001539,2.8999999999999946e-05,1.9205298013244998,2026-01-19T21:13:41.338737,tradingview
COPPYG,COPPYG,1.859,0.03499999999999992,1.9188596491228025,2026-01-19T21:13:41.338737,tradingview
AUDLRD,AUDLRD,122.6203,2.2742999999999967,1.8898010735712,2026-01-19T21:13:41.338737,tradingview
UYULRD,UYULRD,4.7476,0.08800000000000008,1.8885741265344682,2026-01-19T21:13:41.338737,tradingview
CNYPGK,CNYPGK,0.61234,0.01128399999999996,1.8773625086514336,2026-01-19T21:13:41.338737,tradingview
COPVES,COPVES,0.094008,0.0017189999999999983,1.862627182004354,2026-01-19T21:13:41.338737,tradingview
COPPGK,COPPGK,0.001155,2.099999999999997e-05,1.851851851851849,2026-01-19T21:13:41.338737,tradingview
COPZMW,COPZMW,0.0055,9.99999999999994e-05,1.8518518518518405,2026-01-19T21:13:41.338737,tradingview
ARSPGK,ARSPGK,0.002982,5.299999999999966e-05,1.80949129395697,2026-01-19T21:13:41.338737,tradingview
EURLRD,EURLRD,213.839,3.7820000000000107,1.8004636836668193,2026-01-19T21:13:41.338737,tradingview
UYUPGK,UYUPGK,0.110338,0.0019430000000000003,1.7925181050786478,2026-01-19T21:13:41.338737,tradingview
USDPGK,USDPGK,4.2651,0.07509999999999994,1.7923627684964187,2026-01-19T21:13:41.338737,tradingview
PENPGK,PENPGK,1.268953,0.022302000000000044,1.7889529627778782,2026-01-19T21:13:41.338737,tradingview
CLPPGK,CLPPGK,0.004794,8.399999999999987e-05,1.7834394904458575,2026-01-19T21:13:41.338737,tradingview
