date,open,high,low,close,volume
2025-01-20,123.0656,124.051,121.9341,122.9182,647072
2025-01-21,119.5193,124.966,114.5462,119.9739,226893
2025-01-22,115.7923,117.2826,115.0024,116.488,447772
2025-01-23,118.9425,118.9969,118.8631,118.9175,503529
2025-01-24,118.1957,118.4528,117.7971,118.0539,1089330
2025-01-25,117.8689,119.2262,117.3062,118.6597,454934
2025-01-26,125.0468,126.3058,123.9351,125.1927,1020201
2025-01-27,127.0611,128.2723,126.1573,127.3664,638356
2025-01-28,124.8599,125.6871,124.1875,125.0138,878920
2025-01-29,123.5022,123.7111,123.2097,123.4185,929784
2025-01-30,121.9693,124.2514,120.1348,122.4103,813745
2025-01-31,121.7179,123.2953,121.6326,123.2089,162620
2025-02-01,118.0642,118.7562,117.262,117.9534,1045816
2025-02-02,119.2359,121.5191,117.6111,119.8855,1245683
2025-02-03,117.9013,118.0524,117.7494,117.9006,1291509
2025-02-04,116.6951,116.7956,116.6708,116.7714,440125
2025-02-05,116.3487,116.9791,115.5868,116.2165,1157663
2025-02-06,113.427,114.0217,113.0453,113.6393,420970
2025-02-07,115.3778,117.4934,112.1444,114.2391,515782
2025-02-08,114.9381,115.201,114.2576,114.5196,127231
2025-02-09,110.5681,114.5351,107.2518,111.1998,158346
2025-02-10,110.1832,111.0958,108.9486,109.8585,284978
2025-02-11,104.5505,104.8678,104.0162,104.3328,258926
2025-02-12,104.948,109.9988,100.5875,105.6108,444313
2025-02-13,103.8742,103.9717,103.8036,103.901,500529
2025-02-14,104.3624,107.0367,102.9258,105.5833,301001
2025-02-15,106.5407,106.5661,106.5255,106.5509,271765
2025-02-16,106.0904,106.5568,105.4907,105.9565,1095033
2025-02-17,104.2658,104.4614,103.9943,104.1897,987206
2025-02-18,100.984,102.3902,100.2708,101.672,301425
2025-02-19,105.8002,105.9882,105.5778,105.7658,52645
2025-02-20,104.3174,105.2773,102.724,103.6781,1016608
2025-02-21,103.506,103.7482,103.0537,103.2954,164345
2025-02-22,101.9412,101.9486,101.9302,101.9375,789834
2025-02-23,99.3752,99.4602,99.3129,99.3979,624796
2025-02-24,101.4163,106.0615,95.5355,100.1214,360735
2025-02-25,101.3251,101.6944,101.0845,101.4534,414707
2025-02-26,101.1849,107.3301,96.1411,102.234,364129
2025-02-27,99.9079,104.2587,96.4624,100.7831,539794
2025-02-28,98.9973,99.5211,97.4122,97.9303,552446
2025-03-01,100.0125,102.5147,98.0086,100.501,158368
2025-03-02,99.4956,99.6399,99.3344,99.4787,595903
2025-03-03,96.259,97.3862,95.3533,96.4784,648639
2025-03-04,95.9903,96.7698,95.9778,96.7572,373615
2025-03-05,94.9734,95.4511,94.5708,95.0482,382800
2025-03-06,95.8543,96.3483,95.3723,95.8661,361507
2025-03-07,96.8133,97.1635,96.4775,96.8276,730380
2025-03-08,97.7298,99.0332,96.1157,97.4149,578848
2025-03-09,98.5251,98.7197,98.2527,98.4472,664569
2025-03-10,96.9302,97.1998,96.889,97.1585,427915
2025-03-11,96.8301,97.3218,95.9531,96.4427,615305
2025-03-12,96.9829,97.0523,96.9419,97.0114,52887
2025-03-13,97.0394,97.2558,96.909,97.1252,179931
2025-03-14,94.5519,94.589,94.4481,94.4852,579190
2025-03-15,91.823,93.2628,90.2513,91.689,861862
2025-03-16,91.8757,92.9419,90.9767,92.0413,553041
2025-03-17,94.4123,94.8739,93.622,94.082,746948
2025-03-18,95.2795,95.9892,94.5714,95.2811,948086
2025-03-19,95.3045,96.6471,94.7483,96.0863,187676
2025-03-20,95.49,95.8457,94.71,95.0641,1335666
2025-03-21,95.808,96.3529,95.7814,96.3262,1027944
2025-03-22,95.3698,95.5596,95.235,95.4247,127344
2025-03-23,96.9094,99.4261,93.3849,95.8747,396546
2025-03-24,96.6737,96.8896,96.6487,96.8646,238458
2025-03-25,96.5964,99.7639,94.932,98.074,460504
2025-03-26,96.9738,102.5145,92.6959,98.1832,261361
2025-03-27,99.5321,99.5676,99.4957,99.5312,1076235
2025-03-28,99.023,99.0689,97.8898,97.9352,290396
2025-03-29,100.9188,101.2218,100.8711,101.1739,208107
2025-03-30,98.4882,103.7705,94.4323,99.6661,307331
2025-03-31,99.0836,99.5409,98.9323,99.3892,446889
2025-04-01,101.1901,103.833,97.8906,100.516,547328
2025-04-02,101.4648,104.3146,99.0838,101.9228,1290903
2025-04-03,104.0278,104.2433,103.9205,104.1359,170458
2025-04-04,101.0176,107.0541,93.7809,99.7411,220513
2025-04-05,98.0255,98.8155,97.3852,98.1742,916394
2025-04-06,99.5828,101.4743,97.4982,99.386,227599
